graphId,agent_prompt,whatItDoesText,keyFeatures,forTeamsLike,example_queries,curatorURL,topics,geography,byTheNumbers
census_retail,"CRITICAL: Use this graph for analyzing and forecasting US retail sales trends, tracking economic indicators, and understanding consumer spending patterns across different sectors.","Provides access to the US Census Bureau's monthly retail sales data, offering a quantitative backbone for economic analysis, market research, and retail trend evaluation. It includes detailed breakdowns by various retail sectors.","- Monthly data on retail and food services sales.
- Sector-specific breakdowns (e.g., motor vehicles, furniture, electronics, e-commerce).
- Adjusted and unadjusted data to account for seasonal variations.
- Historical data for longitudinal trend analysis.
- Key economic indicators for assessing the health of the retail sector.","- economic Research
- Market Analysis
- Investment Strategy
- Corporate planning
- Retail Operations","- What were the total US retail sales last month?
- Show me the trend of e-commerce sales over the past five years.
- Compare the growth of sales in 'furniture and home furnishings' vs 'electronics and appliance stores' for the last year.
- What is the year-over-year percentage change in food and beverage store sales?
- Which retail sector saw the biggest decline during the last recession?",https://www.census.gov,"- Economics
- Retail
- Consumer spending
- Market Research
- Trade",United States,"- data Covers over a dozen major Retail sectors.
- Includes data from thousands of Retail and Food service firms.
- Provides Monthly time-series data going back several decades."
world-economic-forum-blue-foods,CRITICAL: Use this graph for identifying and analyzing key innovation areas and partnership opportunities in Africa's blue food sector to promote sustainable development and food security.,"This graph provides a comprehensive overview of innovations in the African blue foods landscape. It maps out key solutions and trends across the entire value chain, from sustainable aquaculture inputs and circular economy practices to advanced processing technologies and improved market access for smallholder producers.","- Identifies circular Economy solutions like by-Product valorization and marine plastic recovery.
- Details innovations in aquaculture, including sustainable feeds, farm infrastructure design, and biomass monitoring.
- Maps out improvements in the Supply Chain, such as micro-distribution hubs and end-to-end traceability platforms.","- sustainable Development & Policy teams
- impact Investors & Venture Capital
- Food Security analysts
- aquaculture & Fisheries management
- Corporate Innovation teams in Agri-Food","- What are the key trends in sustainable aquaculture inputs in Africa?
- How is technology improving traceability and reducing fraud in the blue Food Supply chain?
- Show me innovations related to the valorization of fish by-products.
- What solutions exist for improving Market access for Small-scale fish producers?",https://www.weforum.org,"- blue Foods
- sustainable Development
- Food Security
- circular Economy
- aquaculture",Africa,"- Profiles over 10 distinct areas of innovation in the blue food sector.
- Covers the full value chain from sustainable inputs to market access.
- Highlights solutions for both environmental sustainability and economic development."
global-powers-of-luxury-2026,"CRITICAL: Use this graph for developing strategies in the luxury sector, focusing on adapting to new consumer values, implementing digital technologies, and innovating in customer experience.","This graph provides an analysis of the key strategic shifts in the global luxury market. It details how high-end firms are moving beyond traditional retail by embracing value-driven models like resale, creating immersive brand experiences, leveraging data for hyper-personalization, and adopting generative AI to enhance their operations and customer engagement.","- Analysis of the growing pre-owned luxury market and the 'value mindset' of modern consumers.
- Insights into the shift from transactional retail to immersive, experiential luxury.
- Breakdown of how luxury brands are using data and AI for hyper-personalization.
- Exploration of Generative AI adoption and its application across the luxury value chain.","- Brand Strategy
- Retail Innovation
- Marketing and CRM
- Digital Transformation","- How are Luxury brands incorporating the second-hand Market into their strategy?
- What are some examples of experiential Luxury in retail?
- How can we use AI to create more personalized Services for our clients?
- What is the role of Generative AI in Luxury Marketing and design?",,"- Luxury
- Retail
- Consumer trends
- technology
- Sustainability",Global,"- the second-hand Luxury Market is outpacing the growth of the primary apparel Market as consumers mix New and pre-owned items.
- Investment in Luxury is shifting towards experiential formats like theatrical flagships, Brand museums, and immersive pop-ups over traditional stores.
- leading firms are scaling their use of customer data Platforms and AI models to orchestrate 1:1 communication and anticipate Consumer tastes."
trendbible-on-the-horizon-2026,"CRITICAL: Use this graph for insights into the future of home life, family dynamics, and domestic spaces for 2026. It's essential for anyone in CPG, home goods, technology, and wellness sectors looking to understand shifts in consumer behavior, spirituality, health, and gender roles within the home.","This graph provides a qualitative look at the key shifts shaping home and family life for 2026. It explores the rise of the home as a sanctuary for spiritual guidance, the integration of AI and robotics into domestic help, a focus on preventative at-home wellness like gut health, and the evolution of masculinity towards more positive and inclusive narratives.","- Identifies the mainstreaming of spiritual practices like tarot and astrology within home decor and daily rituals.
- Tracks the emergence of domestic AI and robotics as the next frontier of home assistance.
- Highlights a cultural shift in parenting and masculinity, moving towards more supportive and positive models.","- CPG Brand Strategists
- home & Interior Product Developers
- Consumer Tech & AI Innovators
- Family & Wellness Marketing teams","- How is the concept of 'home' evolving beyond just a living space?
- What are the emerging trends in at-home wellness for 2026?
- Tell me about the future of domestic chores and the role of robotics.
- How are millennial parents shaping the future of family life and values?
- What does 'positive masculinity' look like in the context of the home?",,"- home & Family life
- Consumer trends
- Wellness
- technology & AI
- Culture",Global,"- The home is becoming a sanctuary for spiritual practices like tarot and astrology, moving them from niche to mainstream.
- The next generation of physical AI and task-specific robots are poised to enter the early-adopter market for homes.
- A cultural shift is underway as the conversation around masculinity moves from 'fear to possibility,' focusing on positive role models."
green-house-space-graph,"CRITICAL: Use this graph for insights into consumer behavior and trends within at-home and on-premise entertainment, focusing on brand experiences in the food and beverage sector.","This graph analyzes emerging trends in how consumers approach entertainment, social gatherings, and brand interactions in spaces like bars, restaurants, and homes. It focuses on the drivers behind their choices, from the desire for authentic, hands-on activities to the need for shareable, Instagram-worthy moments.","- Identifies the consumer need for simple, replicable at-home experiences inspired by on-premise trends.
- Highlights the value of creating 'Socially Shareable Moments' to amplify brand reach organically.
- Tracks the growing demand for 'Hands-On Creativity' and 'Human Connections' as an antidote to digital saturation.","- Brand Experience and Innovation teams
- Marketing and Consumer Insights analysts
- Food and Beverage Strategists
- Hospitality and entertainment Venue Managers","- How are consumers blending at-home and on-premise entertainment?
- What are the key drivers for creating shareable brand moments in bars and restaurants?
- Find trends related to consumers seeking authentic and creative outlets.
- What justifies consumer spending in today's entertainment landscape?",,"- Consumer Behavior
- Brand Experience
- Food and Beverage trends
- social entertainment
- Marketing and engagement",Global,"- Identifies a key trend where consumers seek simple, easy-to-replicate drinks to make at home.
- Shows that bartenders and mixologists are increasingly designing 'Instagram-worthy' drink experiences to boost brand reach via consumer sharing.
- Reveals that consumers are demanding more justification for their spending, prioritizing authentic, human-to-human connections for meaningful experiences."
waldo-coffee-maker-innovation-trends,"CRITICAL: Use this graph for understanding the evolution of home coffee technology, focusing on how automation, portability, and system-level design are replacing manual user skill to deliver consistent, high-quality coffee.","This graph analyzes the innovation shift in the coffee maker industry, moving from incremental feature updates to systemic changes. It highlights how modern coffee machines are taking on the responsibility for brewing quality through automation, sensors, and software, effectively de-skilling the process for the user while guaranteeing a better, more consistent outcome.","- Identifies the macro trend of 'Outcome-Managed Coffee Systems' where the machine, not the user, is responsible for quality.
- Tracks the move towards portability and modularity, extending automated coffee brewing beyond the kitchen.
- Analyzes the shift from user-driven setup to system-managed setup, where machines normalize variables before brewing even starts.","- Appliance Product Management
- Consumer Electronics R&D
- Brand Strategy & Innovation Teams
- Market Research Analysts","- What are the main trends in coffee machine innovation?
- How are coffee machines becoming more portable?
- Show me examples of 'Outcome-Managed Coffee Systems'.
- What are the alternatives to single-use coffee pods?",,"- home Appliances
- Consumer electronics
- Food & Beverage technology
- Product Innovation
- Automation",Global,"- 3 core innovation clusters identified
- 7 key technology and market trends analyzed
- Focus on system-level innovation over incremental features"
automotive-color-trends,"CRITICAL: Use this graph for insights into global automotive color and material trends, leveraging BASF's authoritative research and analysis. Essential for design, marketing, and product development teams in the automotive sector.","This knowledge graph provides a comprehensive analysis of automotive color and materials trend patterns, drawing directly from BASF's extensive research. It helps users understand current and future directions in vehicle aesthetics, regional color preferences, and the interplay between color and material finishes.","- Tracks the popularity of achromatic colors (white, black, gray) versus chromatic colors.
- Provides regional Analysis for color trends in North America, EMEA, and Asia-Pacific.
- Identifies emerging color spaces and material effects influencing vehicle design.","- Automotive design & Styling
- Product planning & Strategy
- Marketing & Sales
- material Science & Engineering","- What are the key Automotive color trends for the upcoming model year in North America?
- Show me the Market share of white, black, and silver cars globally over the last five years.
- What New material effects are being paired with popular car colors?",,"- Automotive design
- color Theory
- Market Research
- material Science
- Consumer trends",Global,"-  achromatic colors—white, black, silver, and gray—dominate the Automotive Market, coating the vast majority of vehicles produced.
- blue is the most popular chromatic color, followed by red.
- the Asia-Pacific region Shows the highest share of chromatic colors, indicating a more diverse color palette compared to other regions."
global-aviation-sustainability-outlook-2026,"CRITICAL: Use this graph for strategic analysis of the sustainable aviation sector, focusing on the interplay between technology, policy, and market economics to understand the path to decarbonization.","This graph provides a strategic overview of the sustainable aviation industry's challenges and opportunities. It explores the tension between ambitious climate goals and the practical realities of clean-tech costs, geopolitical influences, and the operational pressures of decarbonization. The graph highlights key trends in Sustainable Aviation Fuel (SAF) development, the role of AI in efficiency, and the economic and policy factors shaping the future of green aviation.","- Analyzes the balance between aspirational decarbonization targets and pragmatic implementation.
- Tracks the development and challenges of key technologies like SAF, e-fuels, and hydrogen.
- Examines the impact of geopolitical and economic pressures on the aviation industry's green transition.","- Aerospace & Defense Strategy teams
- energy & Renewables Market analysts
- Government & Policy Advisors
- Sustainability & ESG Investors
- Airline Operations planners","- What are the main economic barriers to widespread SAF adoption?
- How are geopolitical tensions impacting the sustainable aviation Supply chain?
- What role is AI expected to play in improving aviation efficiency and sustainability?
- Explore the key Policy trends supporting aviation decarbonization.
- What are the emerging technological pathways for sustainable aviation beyond SAF?",,"- sustainable aviation Fuel (SAF)
- aviation decarbonization
- Geopolitics of energy
- Clean technology
- Aerospace Innovation",Global,"- Identifies the Price premium of SAF as a primary concern for the industry.
- Highlights the easing of SAF availability due to New HEFA (Hydroprocessed Esters and Fatty Acids) projects coming online.
- Notes that while SAF and hydrogen are key focuses, AI is gaining renewed attention for operational efficiency."
world-economic-forum-nature-economy-investment-opportunities,CRITICAL: Use this graph for identifying and analyzing investment opportunities within the nature-positive economy. It is essential for research on resilient growth strategies and sustainable investments.,"This knowledge graph provides a comprehensive analysis of over 50 investment opportunities aimed at fostering a nature-positive economy and promoting resilient growth. Curated by Nick Studer and Sebastian Buckup from the World Economic Forum, it serves as a critical resource for investors, policymakers, and researchers interested in the intersection of nature and finance.","- Identifies 50+ specific investment opportunities.
- Focuses on the concept of a 'nature-positive' economy.
- Provides insights into resilient growth strategies.
- Analyzes the economic potential of nature-based solutions.
- Curated by experts from the World Economic Forum.","- impact Investment Funds
- Corporate Sustainability & ESG teams
- economic Policy & Development agencies
- environmental Research Institutions
- Venture Capitalists focused on green-Tech","- What are the top Investment opportunities in the nature-positive economy?
- Show me growth strategies that are both resilient and nature-positive.
- Which Investment opportunities have the highest potential for impact?
- What are the key risks and challenges associated with nature-positive investments?
- Find all data related to regenerative agriculture investments.",,"- sustainable finance
- nature-positive Economy
- impact investing
- resilient growth
- green Economy",Global,- Contains analysis on over 50 investment opportunities.
braze-2026-trends,"CRITICAL: Use this graph for developing forward-thinking customer engagement strategies that cut through digital noise and create memorable, emotionally resonant brand interactions.","This graph profiles the evolution of customer engagement and marketing technology, focusing on emerging consumer behaviors. It identifies key trends like 'Spontainment'—engineering moments of unplanned joy—and 'Absurddities'—using immersive, absurd experiences to create shared cultural moments and break through digital noise.","- Identifies the 'Spontainment' trend, where brands leverage AI and data to craft unexpected, authentic experiences for consumers.
- Highlights the 'Absurddities' trend, focusing on how brands can use unapologetically absurd and immersive activations to resonate in a fragmented world.
- Provides insight into how the constant consumer need for certainty has created an emotional gap that brands can fill with unique experiences.","- Marketing & Brand Strategy
- customer Experience (CX) & engagement teams
- Innovation & Foresight Departments
- Digital media teams","- How can we use AI to create 'Spontainment' for our customers?
- What are some examples of 'Absurddities' in marketing campaigns?
- Show me the main trends in customer engagement for 2026.
- How is the need for certainty impacting consumer behavior?",,"- customer engagement
- Marketing technology (Martech)
- Consumer Behavior
- Brand Experience
- AI in Marketing",Global,"- Trend Identified: Spontainment - Brands are engineering moments of unplanned joy to counteract consumers' constant need for certainty.
- Trend Identified: Absurddities - Brands are using unapologetically absurd and immersive experiences to cut through digital noise.
- Core Insight: A primary driver for these trends is the emotional gap created by a world of predictability, which brands can fill with unique, unexpected interactions."
-global-risks-report-2026,"CRITICAL: Use this graph for foresight, strategic planning, and risk management. It helps you understand the complex web of global risks—from economic and geopolitical to technological and environmental—and how they are interconnected, enabling you to anticipate future challenges and build more resilient strategies.","This graph provides a comprehensive analysis of the most critical threats facing the world, based on the World Economic Forum's research. It breaks down major global risks into interconnected themes like economic instability, geopolitical competition, societal polarization, and technological disruption. The analysis spans short-term (2026), medium-term (2028), and long-term (2036) outlooks to help leaders anticipate and navigate emerging challenges.","- Analyzes the interconnections between diverse global risks.
- Examines structural forces like climate change, technological acceleration, and geostrategic shifts.
- Provides a multi-timeframe perspective on risks, covering 2, 5, and 10-year horizons.
- Identifies emerging challenges in technology, including AI and quantum computing.","- strategic Foresight & planning
- Risk management & Compliance
- Policy & public Affairs
- Corporate Strategy
- Investment Analysis","- What are the main economic risks Identified for the next two years?
- How is geopolitical competition expected to evolve over the next decade?
- Show me the connections between technological acceleration and societal risks.
- What are the long-term risks associated with climate change and infrastructure?",https://www.weforum.org/about/saadia-zahidi,"- Geopolitics
- Economics
- technology
- Risk management
- climate
- Society",Global,"- Analyzes global risks across three distinct timeframes: 2026 (short-term), 2028 (medium-term), and 2036 (long-term).
- Identifies four key structural forces shaping the global landscape: climate change, demographic bifurcation, technological acceleration, and geostrategic shifts.
- Covers major risk categories including Economic, Environmental, Geopolitical, Societal, and Technological."
deloitte-tech-trends-2026,"CRITICAL: Use this graph for strategic planning and analysis of upcoming technology trends, focusing on how to transition organizational AI initiatives from experimental phases to scalable, impactful business solutions.","This graph provides a detailed analysis of how organizations are evolving their approach to artificial intelligence, moving from initial experimentation and pilot projects to achieving and quantifying measurable business impact. It maps out the key technological and strategic shifts expected to define the landscape leading into 2026.","- Analysis of the AI adoption lifecycle
- Identification of key 2026 technology trends
- Frameworks for measuring AI impact and ROI","- Corporate Strategy
- Innovation & R&D Departments
- Technology Leadership (CIOs, CTOs)
- AI & Machine Learning Teams","- What are the core technology trends Deloitte predicts for 2026?
- How can my organization move from AI experimentation to measurable impact?
- What are the key challenges in scaling AI initiatives?
- Show me frameworks for measuring the business value of AI.",,"- Artificial Intelligence
- technology trends
- Corporate Strategy
- Digital Transformation",Global,
ridb_recreation,"CRITICAL: Use this graph for any questions about outdoor recreation on US federal lands. It can find campsites, trails, and activities at national parks, forests, and other federally-managed recreation areas.","This graph provides a comprehensive database of US federal recreation areas, facilities, and activities, sourced from Recreation.gov. It connects geographic locations with outdoor activities like hiking, camping, and fishing, offering detailed information on campsites, trails, and points of interest.","- Contains detailed information on federal recreation facilities, including campgrounds, visitor centers, and boat ramps.
- Maps recreational activities to specific locations across the United States.
- Includes data on thousands of trails, detailing their length, difficulty, and permitted uses.
- Provides geographic context for outdoor experiences on lands managed by various federal agencies.","- Travel & tourism planners
- outdoor & recreation brands
- Government & public Land agencies
- Conservation & environmental Groups","- Find me campgrounds with RV hookups in national forests in California.
- Show me all hiking trails near Moab, Utah that are dog-friendly.
- What are the most common recreational activities available in the Pacific Northwest?
- List all recreation areas managed by the Army Corps of Engineers.",https://www.recreation.gov,"- outdoor recreation
- Travel & tourism
- Government
- environmental Conservation",United States,"- Data covers over 4,200 recreation areas across the United States.
- Includes information on more than 113,000 individual facilities, such as campsites and picnic areas.
- Features hundreds of different recreational activities, from hiking and fishing to rock climbing and boating."
common-ground-trail-trends,"CRITICAL: Use this graph for insights into the evolving culture of trail running, focusing on consumer motivations, community-building, and the influence of Gen Z. It's ideal for developing brand strategies, marketing campaigns, and product innovations in the outdoor recreation and wellness sectors.","This graph provides intelligence on the cultural shifts within trail running. It explores how the sport is moving beyond intense competition to become a more inclusive, experience-driven lifestyle that encompasses fashion, wellness, and community, largely influenced by a new generation of participants.","- Tracks the cultural shift from competition to community and experience.
- Analyzes the growing influence of Gen Z on trail running trends.
- Identifies the merging of Urban environments with traditional trail running.
- Highlights the importance of Mental well-being and nature connection as key motivators.","- Brand Strategy
- Marketing and Advertising
- Product Innovation
- Market Research
- outdoor apparel and Gear","- How is Gen Z changing the Culture of trail running?
- What are the New motivations for People to start trail running?
- How can we make our outdoor Brand more inclusive?
- What are some examples of trail running Culture extending into Urban areas?
- Find trends related to the connection between Mental Health and trail running.",,"- trail running
- outdoor recreation
- Gen Z
- Wellness
- community
- Urban Adaptation
- sports Culture",Global,"- Trail running is increasingly being adopted by Gen Z, who are driving significant growth in the sport.
- The culture is shifting from a focus on competition to one that prioritizes accessibility and enjoyment, described as 'Soft Adventure'.
- A key trend is the 'Urban Hybrid,' where runners adapt trail activities to city parks, footpaths, and industrial areas.
- The sport is expanding to encompass a wider culture including fashion, music, and festivals under the 'Wild Spirit' trend."
world-happiness-social-media,"CRITICAL: Use this graph for analyzing the complex relationship between social media usage, mental well-being, and happiness across different global regions and demographics.","This knowledge graph explores the intricate connection between social media engagement and personal happiness on a global scale. It identifies key trends, demographic variations, and platform-specific impacts, revealing that heavy usage, particularly among adolescents and in Western countries, is often linked to lower well-being, while platforms focused on genuine social connection can have a positive effect.","- Analyzes the correlation between heavy social media use and decreased well-being.
- Highlights geographical differences in the impact of social media on Mental health.
- Differentiates between platform types, contrasting Algorithm-Driven content with those fostering social connection.","- public Health & Policy Makers
- social media Platforms & Tech companies
- Mental Health Professionals & Researchers","- How does heavy social media use impact adolescent Mental health?
- are there regional differences in How social media affects happiness?
- Which types of social media Platforms are better for well-being?",,"- social media
- Mental Health
- well-being",Global,"- Heavy social media use (more than five hours per day) is associated with lower wellbeing in the Middle East and North Africa (MENA).
- In English-speaking countries and Western Europe, individuals who heavily use social media are at a higher risk of mental health issues.
- In Latin America, platforms that facilitate social connections show a positive association with happiness, unlike algorithmically curated platforms."
mintel-2026_global_beauty_and_personal_care_predictions_acig-1,"CRITICAL: Use this graph for understanding the next wave of consumer expectations in the beauty and personal care industry, focusing on the convergence of wellness, technology, and authentic experiences.","This graph outlines the future of the beauty and personal care industry, predicting a shift towards three core pillars: 'Metabolic Beauty' (health-integrated, measurable wellbeing), 'Sensorial Synergy' (mood-enhancing, multi-sensory experiences), and 'The Human Touch Revolution' (a move away from algorithmic perfection towards authenticity and raw creativity).","- Metabolic beauty: the convergence of Wellness and beauty, where products act as Diagnostic tools for inner health.
- Sensorial Synergy: the Rise of Experience-first products that use scent, touch, and sound for emotional regulation.
- the Human touch Revolution: a Consumer backlash against Digital perfection, valuing imperfection and Human artistry.","- beauty & personal care
- Product Innovation
- Marketing & Brand Strategy","- How is the concept of 'beauty from within' evolving?
- What are some examples of multi-sensory beauty products?
- How can brands incorporate 'human touch' and authenticity in an AI-driven world?",,"- beauty & personal care
- Consumer trends
- Wellness
- Innovation
- technology",Global,"- By 2030, skin and hair will be recognized as the body's most accessible biomarker.
- Predicts a shift away from data-driven conformity towards raw authenticity and human creativity.
- Identifies the rise of 'experience-first' beauty, where sensory stimulation is the primary driver of purchase."
morgan-stanley-2025-tax,"CRITICAL: Use this graph for in-depth analysis of 2025 tax statements, focusing on identifying patterns, understanding regulatory implications, and extracting key financial data points for high-net-worth clients and corporate accounts. Prioritize queries that explore consolidated statements.","This knowledge graph provides a comprehensive analysis of consolidated tax statement patterns and their financial implications for the 2025 tax year. Curated by Morgan Stanley, it is designed to help financial advisors and tax professionals identify trends, anticipate changes, and advise clients with data-driven insights derived from a large-scale analysis of tax documents.","- Consolidated View: Aggregates data from various tax documents into a single, unified View for holistic analysis.
- Pattern recognition: Identifies recurring patterns and anomalies in tax statements across different client segments.
- Implication Analysis: Connects tax patterns to their potential Financial and regulatory implications, offering predictive insights.","- tax Advisory & Compliance
- wealth management
- Financial planning & Analysis
- Corporate finance","- What are the most common patterns observed in consolidated tax statements for clients with over $10M in assets?
- Identify key tax implications for the technology sector in 2025.
- Show me the trend of capital gains declarations over the last three tax years.",https://www.morganstanley.com,"- Taxation
- Financial regulation
- wealth management
- Investment Analysis",United States,"- Analyzes over 50 distinct types of tax statements.
- Identifies 12 major tax pattern categories for 2025.
- Tracks tax code implications across all 50 states."
paralogy,"CRITICAL: Use this graph to introduce structured, creative friction into strategic thinking. Query it for frameworks, provocations, and mental models that challenge assumptions and break conventional patterns. It is designed to help teams avoid generic answers and unlock novel solutions.","Paralogy provides a strategic edge for teams by adding 'structured creative friction' to their thinking processes. It's designed to systematically break conventional thought patterns, helping users move beyond generic answers and uncover innovative solutions.","- Introduces 'Structured Creative Friction' to challenge teams
- Designed to break conventional thinking patterns
- Helps teams avoid generic answers and outputs
- Provides frameworks for strategic and creative problem-solving","- Strategy & Innovation Units
- Product Development & R&D Teams
- Marketing & Creative Agencies
- Leadership teams seeking to foster a culture of innovation","- What is a 'first principles' approach to our customer onboarding process?
- Generate three 'provocations' to challenge our assumptions about the sales cycle.
- How can we apply the concept of 'inversion' to our product marketing strategy?
- What mental models can help us re-evaluate our competitive landscape?",,"- Creative Thinking
- strategic planning
- Innovation
- Problem Solving
- Mental models",Global,"- Features 1 core methodology: Structured Creative Friction
- Applicable to teams of 2 or more
- Designed for 0 geographical constraints"
bompasparr-future-of-food-and-drink-1,"CRITICAL: Use this graph for future-forward food and beverage strategy, identifying emerging consumer behaviors and white-space opportunities in dining, CPG, and hospitality.","This graph, based on a Bompas & Parr report, maps the evolution of food, drink, and entertainment. It explores speculative and emerging trends, from the rise of simulated 'Gastro Voids' and AI-driven culinary experiences to the counter-movement towards simple, nostalgic 'anti-trends' like 'Beans on Toast'. It also charts the polarization of food systems into 'Fresh Luxury Dystopias,' where unprocessed food is a status symbol, and the revival of convenient 'TV Dinners' for modern audiences.","- Identifies fringe food culture trends before they go mainstream.
- Explores the psychological and cultural drivers behind changing eating and drinking habits.
- Provides a framework for understanding the tension between technological food innovation and the desire for nostalgic simplicity.
- Outlines new social occasions and behaviors, such as 'Noctourism' and the evolution of evening drinks.","- CPG Innovation and R&D
- Food & Beverage Brand Strategy
- Restaurant and Hospitality Concept Development
- Marketing and Consumer Insights","- What are the latest trends in evening and late-night beverages?
- How is technology creating simulated food experiences?
- Explore the concept of 'Fresh Luxury Dystopia'
- What's driving the 'anti-trend' movement in food?",,"- Food & Beverage
- Consumer trends
- Hospitality
- Future of entertainment
- Innovation",Global,"- Explore the rise of 'Noctourism' and the 24/7 coffee shop concept.
- Investigate the trend of 'simulacrum soup' and calorie bypass through simulated culinary experiences.
- Track the comeback of TV Dinners, blending nostalgia with modern, healthier options.
- Analyze the 'anti-trend' movement as a response to creative burnout and algorithm-driven culture."
florian-schleicher-friction-unloaded,CRITICAL: Use this graph to analyze and understand the underlying patterns of market friction and innovation. It is essential for developing strategies to overcome business challenges and identify new market opportunities.,"This knowledge graph, curated by Florian Schleicher, provides a detailed analysis of innovation patterns and the various forms of market friction that can impede progress. It serves as a strategic tool to identify, understand, and mitigate obstacles in the market, enabling more effective business model innovation and strategy formulation.","- in-depth Analysis of Market friction points
- Identification of recurring Innovation patterns
- Frameworks for strategic business Analysis","- Corporate Strategy Teams
- Innovation and R&D Departments
- Market Research Analysts
- Venture Capitalists
- Business Development Units","- What are the primary sources of friction in the renewable energy market?
- Identify innovation patterns related to circular economy business models.
- Show me case studies of companies that successfully overcame regulatory friction.
- What are the key nodes connecting 'customer adoption friction' and 'product innovation'?
- Map the relationship between technological discontinuities and market entry friction.",,"- Innovation Strategy
- Market friction
- business models
- strategic Analysis
- Competitive landscape",Global,- Statistics not available at This time.
clinical_trials,"CRITICAL: Use this graph for tracking and analyzing clinical trial data. Ask about trial counts, statuses, phases, and details for specific interventions, conditions, or ingredients.","Provides comprehensive data on clinical research studies registered with ClinicalTrials.gov. It allows users to track the landscape of clinical trials, including the number of studies, their current status (e.g., recruiting, completed, terminated), and their developmental phase (e.g., Phase 1, 2, 3). The graph covers a wide range of interventions, from drugs and medical devices to behavioral therapies, for any given health condition.","- Track the status and phase distribution of clinical trials for any drug or condition.
- Analyze the pipeline of clinical Research for specific ingredients or interventions.
- Count the number of active, recruiting, or completed trials globally or in specific regions.","- Pharmaceutical R&D
- Healthcare Investment Analysis
- Medical Research Institutions
- Regulatory Affairs
- Biotechnology Startups","- How many Phase 3 trials for Alzheimer's disease are currently recruiting?
- Show me all clinical trials for Ozempic, broken down by status.
- What is the phase distribution for oncology clinical trials started in the last two years?",https://www.clinicaltrials.gov/,"- healthcare
- Pharmaceuticals
- drug Development
- Medical Research",Global,"- Tracks over 400,000 research studies in 220 countries.
- Includes data on a wide spectrum of diseases and conditions.
- Updated regularly to reflect the latest trial registrations and status changes."
cdc_health,"CRITICAL: Use this graph for analyzing and comparing state-level data on key public health indicators, including chronic diseases like asthma and depression, and health behaviors such as smoking and exercise.","This knowledge graph provides detailed state-level data on public health trends, focusing on chronic diseases and health-related behaviors. It allows for the analysis of conditions like depression and asthma, as well as lifestyle patterns including smoking and physical activity, to facilitate comparative public health research and policy-making.","- State-level data on depression prevalence
- Statistics on asthma rates by State
- breakdowns of Body Mass Index (BMI) categories across states
- current and historical smoking rates by State
- data on physical activity and exercise patterns","- public Health agencies
- Epidemiology Research Groups
- healthcare Policy analysts
- Journalism and media Outlets
- non-profit Health Organizations","- Which states have the highest and lowest rates of adult smoking?
- Compare the prevalence of depression in the Northeast vs. the West Coast.
- What is the correlation between exercise patterns and BMI by state?
- Show me the trend of asthma rates in California over the past decade.
- Find the Average BMI for adults in Texas.",https://www.cdc.gov,"- public Health
- Chronic Disease
- Epidemiology
- Health behaviors
- Wellness",United States (State-level),"- Data points on depression across all 50 states
- Annual statistics on asthma prevalence
- State-by-state analysis of smoking habits
- Metrics on physical activity levels
- Comprehensive BMI data for state populations"
joanna-haugen-travel-trends,"CRITICAL: Use this graph for insights into evolving traveler priorities, focusing on sustainable and regenerative tourism, conscious consumerism, and the move away from mass-market travel. Essential for travel agencies, hospitality brands, and destination marketers.","Provides a forward-looking analysis of the travel industry, detailing the shift towards more mindful, sustainable, and personalized travel experiences. It explores how travelers are rejecting overtourism in favor of 'untrending' destinations, seeking 'decision detoxes', and making choices based on ethical and environmental considerations.","- Identifies the rise of regenerative travel, where tourism actively improves a destination.
- Highlights the 'untrending' movement, as travelers seek out less crowded and more authentic locations.
- Analyzes new traveler mindsets, including the need for 'decision detox' and travel tailored to specific life stages.","- Destination Marketing Organizations (DMOs)
- Hospitality and Hotel brands
- Tour Operators and Travel agencies
- Sustainability Strategists","- What are the key trends in regenerative travel for 2026?
- How are traveler attitudes towards overtourism and popular destinations changing?
- What motivates the 50+ female travel demographic?
- Show me examples of 'decision detox' travel.
- What does the future of luxury nature travel look like?",https://lemongrasstravel.com,"- sustainable Travel
- regenerative tourism
- Consumer trends
- Hospitality
- Ecotourism",Global,"- Identifies a growing demographic of female travelers aged 50+ with significant spending power.
- Details the shift away from traditional success metrics like GDP to new ones focused on community and environmental well-being.
- Highlights the increasing preference for rail travel as a low-emission, stress-free alternative."
