graphId,graphName,agent_prompt,whatItDoesText,keyFeatures,forTeamsLike,example_queries,curatorURL,topics,geography,byTheNumbers,headline
"beauty","PSFK Beauty Trends","CRITICAL: Use this graph for researching the convergence of technology and beauty, understanding how AI and data are creating hyper-personalized products and services, and exploring the shift towards holistic wellness and ingestible solutions.","This knowledge graph tracks the evolution of the beauty industry, focusing on the integration of technology, data-driven personalization, and a broader definition of wellness. It contains trends and evidence related to AI-powered skin diagnostics, smart hair styling tools, the rise of ingestible beauty supplements like collagen snacks, and the transformation of retail spaces into immersive, service-oriented experiences.","- AI-Driven Personalization
- Ingestible Beauty & Supplements
- Smart Diagnostic Tools
- Experiential Retail Formats","- Beauty Brand Strategists
- Retail Innovation Teams
- CPG Product Developers
- Marketing & Consumer Insights","- What are the latest AI skin diagnostic tools being used by retailers?
- Show me examples of ingestible beauty products like collagen shots or snacks.
- How are beauty brands creating experiential retail installations?
- Find trends related to smart hair care devices with sensor technology.","","- Beauty Tech
- Personalization
- Artificial Intelligence
- Retail Innovation
- Wellness
- Consumer Packaged Goods","Global (with examples from North America, Asia, and Europe)","- Tracks over 10 major emerging trends.
- Evidence from dozens of brands including L'Oréal, Dior, and Samsung.
- Over 7,000 signals related to the growth of experiential retail.","Explore the future of beauty, from AI-powered personalization and smart devices to the rise of ingestible wellness."
"fashion","PSFK Fashion Trends","CRITICAL: Use this graph for insights on fashion marketing, retail strategy, and sustainable innovation. It connects apparel trends to broader consumer behavior, making it ideal for brand strategists, marketers, and retail designers.","The PSFK Fashion Trends graph provides a strategic overview of the evolving fashion landscape, focusing on the convergence of streetwear culture, luxury sustainability, and innovative materials. It tracks how brands are using personalization, collaborations, and experiential retail to engage with consumers. The graph is curated by PSFK's editorial team to highlight key shifts in design, marketing, and consumer behavior.","- Tracks the fusion of heritage and streetwear through limited-edition capsules.
- Monitors the rise of sustainable and upcycled materials in product design.
- Analyzes how direct-to-consumer (DTC) brands are using physical retail and store design as a brand expression.
- Highlights the importance of brand collaborations and co-branded content.
- Explores the impact of personalization and on-demand production in apparel.","- Brand Strategy & Marketing
- Retail Innovation & Design
- Product Development & Merchandising
- Sustainability & Materials Sourcing
- Consumer Insights & Trend Forecasting","- What are the latest trends in sustainable fashion materials?
- How are luxury brands engaging with streetwear culture?
- Show me examples of innovative retail store designs in the fashion industry.
- What are some successful brand collaboration capsules?
- How is personalization affecting the apparel market?","","- Fashion
- Retail
- Sustainability
- Streetwear
- Marketing
- Consumer Trends","Global, with an emphasis on North America and Europe.","- Identifies over 6,700 trends related to retail and fashion.
- Tracks dozens of brands from major players like Nike to innovators like Krave Beauty.
- Covers key industries including Fashion & Apparel, Retail, and Consumer Goods.","Explore the Intersection of Streetwear, Sustainability, and Retail Innovation"
"mintel-2026_global_food_and_drink_predictions","Mintel Global Food Predictions","CRITICAL: Use this graph for understanding how to innovate in the food and drink sector by looking to the past. It provides insights on how heritage, tradition, and nostalgia can be leveraged to create products that resonate with consumers seeking comfort and stability in an uncertain world.","This graph explores the 'Retro Rejuvenation' trend, highlighting how food and drink brands can appeal to consumers by incorporating trusted, practical, and traditional elements into their products. It focuses on the consumer desire for a sense of control and comfort, which they find in the familiarity and reliability of heritage ingredients and recipes.","- Identifies the 'Retro Rejuvenation' trend in the food and drink market.
- Explains the consumer psychology of seeking comfort in tradition amidst global uncertainty.
- Suggests that brands can act as 'cultural custodians' by grounding their products in historical and heritage ingredients.","- Product Development
- Brand Strategy
- Marketing and Advertising
- Consumer Insights","- What is the 'Retro Rejuvenation' trend?
- How can my brand leverage heritage ingredients to build consumer trust?
- What are some examples of food and drink brands successfully using tradition in their marketing?
- Why are consumers turning to familiar food traditions?","","- Food & Drink
- Consumer Trends
- Brand Strategy
- Nostalgia
- Health & Wellness","Global","","Harnessing Heritage: How 'Retro Rejuvenation' is Shaping the Future of Food and Drink"
"census_retail","US Census Retail Sales","CRITICAL: Use this graph for analyzing and forecasting US retail sales trends, tracking economic indicators, and understanding consumer spending patterns across different sectors.","Provides access to the US Census Bureau's monthly retail sales data, offering a quantitative backbone for economic analysis, market research, and retail trend evaluation. It includes detailed breakdowns by various retail sectors.","- Monthly data on retail and food services sales.
- Sector-specific breakdowns (e.g., motor vehicles, furniture, electronics, e-commerce).
- Adjusted and unadjusted data to account for seasonal variations.
- Historical data for longitudinal trend analysis.
- Key economic indicators for assessing the health of the retail sector.","- Economic Research
- Market Analysis
- Investment Strategy
- Corporate Planning
- Retail Operations","- What were the total US retail sales last month?
- Show me the trend of e-commerce sales over the past five years.
- Compare the growth of sales in 'furniture and home furnishings' vs 'electronics and appliance stores' for the last year.
- What is the year-over-year percentage change in food and beverage store sales?
- Which retail sector saw the biggest decline during the last recession?","https://www.census.gov","- Economics
- Retail
- Consumer Spending
- Market Research
- Trade","United States","- Data covers over a dozen major retail sectors.
- Includes data from thousands of retail and food service firms.
- Provides monthly time-series data going back several decades.","Track the Pulse of US Consumer Spending with Official Census Data"
"world-economic-forum-blue-foods","World Economic Forum Blue Foods Graph","CRITICAL: Use this graph for identifying and analyzing key innovation areas and partnership opportunities in Africa's blue food sector to promote sustainable development and food security.","This graph provides a comprehensive overview of innovations in the African blue foods landscape. It maps out key solutions and trends across the entire value chain, from sustainable aquaculture inputs and circular economy practices to advanced processing technologies and improved market access for smallholder producers.","- Identifies circular economy solutions like by-product valorization and marine plastic recovery.
- Details innovations in aquaculture, including sustainable feeds, farm infrastructure design, and biomass monitoring.
- Maps out improvements in the supply chain, such as micro-distribution hubs and end-to-end traceability platforms.","- Sustainable Development & Policy Teams
- Impact Investors & Venture Capital
- Food Security Analysts
- Aquaculture & Fisheries Management
- Corporate Innovation Teams in Agri-Food","- What are the key trends in sustainable aquaculture inputs in Africa?
- How is technology improving traceability and reducing fraud in the blue food supply chain?
- Show me innovations related to the valorization of fish by-products.
- What solutions exist for improving market access for small-scale fish producers?","https://www.weforum.org","- Blue Foods
- Sustainable Development
- Food Security
- Circular Economy
- Aquaculture","Africa","- Profiles over 10 distinct areas of innovation in the blue food sector.
- Covers the full value chain from sustainable inputs to market access.
- Highlights solutions for both environmental sustainability and economic development.","Mapping the Innovations and Partnership Opportunities in Africa's Blue Food Sector"
"global-powers-of-luxury-2026","Deloitte Global Powers of Luxury 2026","CRITICAL: Use this graph for developing strategies in the luxury sector, focusing on adapting to new consumer values, implementing digital technologies, and innovating in customer experience.","This graph provides an analysis of the key strategic shifts in the global luxury market. It details how high-end firms are moving beyond traditional retail by embracing value-driven models like resale, creating immersive brand experiences, leveraging data for hyper-personalization, and adopting generative AI to enhance their operations and customer engagement.","- Analysis of the growing pre-owned luxury market and the 'value mindset' of modern consumers.
- Insights into the shift from transactional retail to immersive, experiential luxury.
- Breakdown of how luxury brands are using data and AI for hyper-personalization.
- Exploration of Generative AI adoption and its application across the luxury value chain.","- Brand Strategy
- Retail Innovation
- Marketing and CRM
- Digital Transformation","- How are luxury brands incorporating the second-hand market into their strategy?
- What are some examples of experiential luxury in retail?
- How can we use AI to create more personalized services for our clients?
- What is the role of Generative AI in luxury marketing and design?","","- Luxury
- Retail
- Consumer Trends
- Technology
- Sustainability","Global","- The second-hand luxury market is outpacing the growth of the primary apparel market as consumers mix new and pre-owned items.
- Investment in luxury is shifting towards experiential formats like theatrical flagships, brand museums, and immersive pop-ups over traditional stores.
- Leading firms are scaling their use of Customer Data Platforms and AI models to orchestrate 1:1 communication and anticipate consumer tastes.","Mapping the Future of Luxury: How Brands Are Winning on Value, Experience, and AI"
"trendbible-on-the-horizon-2026","TrendBible Home 2026 Trends","CRITICAL: Use this graph for insights into the future of home life, family dynamics, and domestic spaces for 2026. It's essential for anyone in CPG, home goods, technology, and wellness sectors looking to understand shifts in consumer behavior, spirituality, health, and gender roles within the home.","This graph provides a qualitative look at the key shifts shaping home and family life for 2026. It explores the rise of the home as a sanctuary for spiritual guidance, the integration of AI and robotics into domestic help, a focus on preventative at-home wellness like gut health, and the evolution of masculinity towards more positive and inclusive narratives.","- Identifies the mainstreaming of spiritual practices like tarot and astrology within home decor and daily rituals.
- Tracks the emergence of domestic AI and robotics as the next frontier of home assistance.
- Highlights a cultural shift in parenting and masculinity, moving towards more supportive and positive models.","- CPG Brand Strategists
- Home & Interior Product Developers
- Consumer Tech & AI Innovators
- Family & Wellness Marketing Teams","- How is the concept of 'home' evolving beyond just a living space?
- What are the emerging trends in at-home wellness for 2026?
- Tell me about the future of domestic chores and the role of robotics.
- How are millennial parents shaping the future of family life and values?
- What does 'positive masculinity' look like in the context of the home?","","- Home & Family Life
- Consumer Trends
- Wellness
- Technology & AI
- Culture","Global","- The home is becoming a sanctuary for spiritual practices like tarot and astrology, moving them from niche to mainstream.
- The next generation of physical AI and task-specific robots are poised to enter the early-adopter market for homes.
- A cultural shift is underway as the conversation around masculinity moves from 'fear to possibility,' focusing on positive role models.","Explore 2026's home life: from spiritual sanctuaries and domestic robots to evolving family values."
"green-house-space-graph","Green House Space Graph","CRITICAL: Use this graph for insights into consumer behavior and trends within at-home and on-premise entertainment, focusing on brand experiences in the food and beverage sector.","This graph analyzes emerging trends in how consumers approach entertainment, social gatherings, and brand interactions in spaces like bars, restaurants, and homes. It focuses on the drivers behind their choices, from the desire for authentic, hands-on activities to the need for shareable, Instagram-worthy moments.","- Identifies the consumer need for simple, replicable at-home experiences inspired by on-premise trends.
- Highlights the value of creating 'Socially Shareable Moments' to amplify brand reach organically.
- Tracks the growing demand for 'Hands-On Creativity' and 'Human Connections' as an antidote to digital saturation.","- Brand Experience and Innovation Teams
- Marketing and Consumer Insights Analysts
- Food and Beverage Strategists
- Hospitality and Entertainment Venue Managers","- How are consumers blending at-home and on-premise entertainment?
- What are the key drivers for creating shareable brand moments in bars and restaurants?
- Find trends related to consumers seeking authentic and creative outlets.
- What justifies consumer spending in today's entertainment landscape?","","- Consumer Behavior
- Brand Experience
- Food and Beverage Trends
- Social Entertainment
- Marketing and Engagement","Global","- Identifies a key trend where consumers seek simple, easy-to-replicate drinks to make at home.
- Shows that bartenders and mixologists are increasingly designing 'Instagram-worthy' drink experiences to boost brand reach via consumer sharing.
- Reveals that consumers are demanding more justification for their spending, prioritizing authentic, human-to-human connections for meaningful experiences.","Analyzes consumer trends in entertainment and social spaces to help brands create more meaningful connections."
"waldo-coffee-maker-innovation-trends","Waldo Coffee Maker Innovation Graph","CRITICAL: Use this graph for understanding the evolution of home coffee technology, focusing on how automation, portability, and system-level design are replacing manual user skill to deliver consistent, high-quality coffee.","This graph analyzes the innovation shift in the coffee maker industry, moving from incremental feature updates to systemic changes. It highlights how modern coffee machines are taking on the responsibility for brewing quality through automation, sensors, and software, effectively de-skilling the process for the user while guaranteeing a better, more consistent outcome.","- Identifies the macro trend of 'Outcome-Managed Coffee Systems' where the machine, not the user, is responsible for quality.
- Tracks the move towards portability and modularity, extending automated coffee brewing beyond the kitchen.
- Analyzes the shift from user-driven setup to system-managed setup, where machines normalize variables before brewing even starts.","- Appliance Product Management
- Consumer Electronics R&D
- Brand Strategy & Innovation Teams
- Market Research Analysts","- What are the main trends in coffee machine innovation?
- How are coffee machines becoming more portable?
- Show me examples of 'Outcome-Managed Coffee Systems'.
- What are the alternatives to single-use coffee pods?","","- Home Appliances
- Consumer Electronics
- Food & Beverage Technology
- Product Innovation
- Automation","Global","- 3 core innovation clusters identified
- 7 key technology and market trends analyzed
- Focus on system-level innovation over incremental features","Mapping the Shift from User Skill to System Intelligence in Coffee Makers"
"automotive-color-trends","BASF Automotive Color Trends","CRITICAL: Use this graph for insights into global automotive color and material trends, leveraging BASF's authoritative research and analysis. Essential for design, marketing, and product development teams in the automotive sector.","This knowledge graph provides a comprehensive analysis of automotive color and materials trend patterns, drawing directly from BASF's extensive research. It helps users understand current and future directions in vehicle aesthetics, regional color preferences, and the interplay between color and material finishes.","- Tracks the popularity of achromatic colors (white, black, gray) versus chromatic colors.
- Provides regional analysis for color trends in North America, EMEA, and Asia-Pacific.
- Identifies emerging color spaces and material effects influencing vehicle design.","- Automotive Design & Styling
- Product Planning & Strategy
- Marketing & Sales
- Material Science & Engineering","- What are the key automotive color trends for the upcoming model year in North America?
- Show me the market share of white, black, and silver cars globally over the last five years.
- What new material effects are being paired with popular car colors?","","- Automotive Design
- Color Theory
- Market Research
- Material Science
- Consumer Trends","Global","-  Achromatic colors—white, black, silver, and gray—dominate the automotive market, coating the vast majority of vehicles produced.
- Blue is the most popular chromatic color, followed by red.
- The Asia-Pacific region shows the highest share of chromatic colors, indicating a more diverse color palette compared to other regions.","Explore BASF's analysis of global automotive color and material trend patterns."
"global-aviation-sustainability-outlook-2026","World Economic Forum Sustainable Aviation Graph","CRITICAL: Use this graph for strategic analysis of the sustainable aviation sector, focusing on the interplay between technology, policy, and market economics to understand the path to decarbonization.","This graph provides a strategic overview of the sustainable aviation industry's challenges and opportunities. It explores the tension between ambitious climate goals and the practical realities of clean-tech costs, geopolitical influences, and the operational pressures of decarbonization. The graph highlights key trends in Sustainable Aviation Fuel (SAF) development, the role of AI in efficiency, and the economic and policy factors shaping the future of green aviation.","- Analyzes the balance between aspirational decarbonization targets and pragmatic implementation.
- Tracks the development and challenges of key technologies like SAF, e-fuels, and hydrogen.
- Examines the impact of geopolitical and economic pressures on the aviation industry's green transition.","- Aerospace & Defense Strategy Teams
- Energy & Renewables Market Analysts
- Government & Policy Advisors
- Sustainability & ESG Investors
- Airline Operations Planners","- What are the main economic barriers to widespread SAF adoption?
- How are geopolitical tensions impacting the sustainable aviation supply chain?
- What role is AI expected to play in improving aviation efficiency and sustainability?
- Explore the key policy trends supporting aviation decarbonization.
- What are the emerging technological pathways for sustainable aviation beyond SAF?","","- Sustainable Aviation Fuel (SAF)
- Aviation Decarbonization
- Geopolitics of Energy
- Clean Technology
- Aerospace Innovation","Global","- Identifies the price premium of SAF as a primary concern for the industry.
- Highlights the easing of SAF availability due to new HEFA (Hydroprocessed Esters and Fatty Acids) projects coming online.
- Notes that while SAF and hydrogen are key focuses, AI is gaining renewed attention for operational efficiency.","Strategic Outlook on Sustainable Aviation's Economic and Geopolitical Hurdles"
"world-economic-forum-nature-economy-investment-opportunities","World Economic Forum Nature-Forward Opportunities Graph","CRITICAL: Use this graph for identifying and analyzing investment opportunities within the nature-positive economy. It is essential for research on resilient growth strategies and sustainable investments.","This knowledge graph provides a comprehensive analysis of over 50 investment opportunities aimed at fostering a nature-positive economy and promoting resilient growth. Curated by Nick Studer and Sebastian Buckup from the World Economic Forum, it serves as a critical resource for investors, policymakers, and researchers interested in the intersection of nature and finance.","- Identifies 50+ specific investment opportunities.
- Focuses on the concept of a 'nature-positive' economy.
- Provides insights into resilient growth strategies.
- Analyzes the economic potential of nature-based solutions.
- Curated by experts from the World Economic Forum.","- Impact Investment Funds
- Corporate Sustainability & ESG Teams
- Economic Policy & Development Agencies
- Environmental Research Institutions
- Venture Capitalists focused on Green-Tech","- What are the top investment opportunities in the nature-positive economy?
- Show me growth strategies that are both resilient and nature-positive.
- Which investment opportunities have the highest potential for impact?
- What are the key risks and challenges associated with nature-positive investments?
- Find all data related to regenerative agriculture investments.","","- Sustainable Finance
- Nature-Positive Economy
- Impact Investing
- Resilient Growth
- Green Economy","Global","- Contains analysis on over 50 investment opportunities.","Explore 50+ Investment Opportunities in the Nature-Positive Economy"
"braze-2026-trends","Braze 2026 Trends","CRITICAL: Use this graph for developing forward-thinking customer engagement strategies that cut through digital noise and create memorable, emotionally resonant brand interactions.","This graph profiles the evolution of customer engagement and marketing technology, focusing on emerging consumer behaviors. It identifies key trends like 'Spontainment'—engineering moments of unplanned joy—and 'Absurddities'—using immersive, absurd experiences to create shared cultural moments and break through digital noise.","- Identifies the 'Spontainment' trend, where brands leverage AI and data to craft unexpected, authentic experiences for consumers.
- Highlights the 'Absurddities' trend, focusing on how brands can use unapologetically absurd and immersive activations to resonate in a fragmented world.
- Provides insight into how the constant consumer need for certainty has created an emotional gap that brands can fill with unique experiences.","- Marketing & Brand Strategy
- Customer Experience (CX) & Engagement Teams
- Innovation & Foresight Departments
- Digital Media Teams","- How can we use AI to create 'Spontainment' for our customers?
- What are some examples of 'Absurddities' in marketing campaigns?
- Show me the main trends in customer engagement for 2026.
- How is the need for certainty impacting consumer behavior?","","- Customer Engagement
- Marketing Technology (Martech)
- Consumer Behavior
- Brand Experience
- AI in Marketing","Global","- Trend Identified: Spontainment - Brands are engineering moments of unplanned joy to counteract consumers' constant need for certainty.
- Trend Identified: Absurddities - Brands are using unapologetically absurd and immersive experiences to cut through digital noise.
- Core Insight: A primary driver for these trends is the emotional gap created by a world of predictability, which brands can fill with unique, unexpected interactions.","Profiling the Future of Customer Engagement: 'Spontainment' and 'Absurddities'"
"-global-risks-report-2026","World Economic Forum Global Risks Graph","CRITICAL: Use this graph for foresight, strategic planning, and risk management. It helps you understand the complex web of global risks—from economic and geopolitical to technological and environmental—and how they are interconnected, enabling you to anticipate future challenges and build more resilient strategies.","This graph provides a comprehensive analysis of the most critical threats facing the world, based on the World Economic Forum's research. It breaks down major global risks into interconnected themes like economic instability, geopolitical competition, societal polarization, and technological disruption. The analysis spans short-term (2026), medium-term (2028), and long-term (2036) outlooks to help leaders anticipate and navigate emerging challenges.","- Analyzes the interconnections between diverse global risks.
- Examines structural forces like climate change, technological acceleration, and geostrategic shifts.
- Provides a multi-timeframe perspective on risks, covering 2, 5, and 10-year horizons.
- Identifies emerging challenges in technology, including AI and quantum computing.","- Strategic Foresight & Planning
- Risk Management & Compliance
- Policy & Public Affairs
- Corporate Strategy
- Investment Analysis","- What are the main economic risks identified for the next two years?
- How is geopolitical competition expected to evolve over the next decade?
- Show me the connections between technological acceleration and societal risks.
- What are the long-term risks associated with climate change and infrastructure?","https://www.weforum.org/about/saadia-zahidi","- Geopolitics
- Economics
- Technology
- Risk Management
- Climate
- Society","Global","- Analyzes global risks across three distinct timeframes: 2026 (short-term), 2028 (medium-term), and 2036 (long-term).
- Identifies four key structural forces shaping the global landscape: climate change, demographic bifurcation, technological acceleration, and geostrategic shifts.
- Covers major risk categories including Economic, Environmental, Geopolitical, Societal, and Technological.","Navigate Future Uncertainty with the WEF's Definitive Map of Interconnected Global Risks"
"deloitte-tech-trends-2026","Deloitte Tech Trends 2026","CRITICAL: Use this graph for strategic planning and analysis of upcoming technology trends, focusing on how to transition organizational AI initiatives from experimental phases to scalable, impactful business solutions.","This graph provides a detailed analysis of how organizations are evolving their approach to artificial intelligence, moving from initial experimentation and pilot projects to achieving and quantifying measurable business impact. It maps out the key technological and strategic shifts expected to define the landscape leading into 2026.","- Analysis of the AI adoption lifecycle
- Identification of key 2026 technology trends
- Frameworks for measuring AI impact and ROI","- Corporate Strategy
- Innovation & R&D Departments
- Technology Leadership (CIOs, CTOs)
- AI & Machine Learning Teams","- What are the core technology trends Deloitte predicts for 2026?
- How can my organization move from AI experimentation to measurable impact?
- What are the key challenges in scaling AI initiatives?
- Show me frameworks for measuring the business value of AI.","","- Artificial Intelligence
- Technology Trends
- Corporate Strategy
- Digital Transformation","Global","","From AI Experimentation to Measurable Impact: Tech Trends for 2026"
"ridb_recreation","Recreation.gov RIDB","CRITICAL: Use this graph for any questions about outdoor recreation on US federal lands. It can find campsites, trails, and activities at national parks, forests, and other federally-managed recreation areas.","This graph provides a comprehensive database of US federal recreation areas, facilities, and activities, sourced from Recreation.gov. It connects geographic locations with outdoor activities like hiking, camping, and fishing, offering detailed information on campsites, trails, and points of interest.","- Contains detailed information on federal recreation facilities, including campgrounds, visitor centers, and boat ramps.
- Maps recreational activities to specific locations across the United States.
- Includes data on thousands of trails, detailing their length, difficulty, and permitted uses.
- Provides geographic context for outdoor experiences on lands managed by various federal agencies.","- Travel & Tourism Planners
- Outdoor & Recreation Brands
- Government & Public Land Agencies
- Conservation & Environmental Groups","- Find me campgrounds with RV hookups in national forests in California.
- Show me all hiking trails near Moab, Utah that are dog-friendly.
- What are the most common recreational activities available in the Pacific Northwest?
- List all recreation areas managed by the Army Corps of Engineers.","https://www.recreation.gov","- Outdoor Recreation
- Travel & Tourism
- Government
- Environmental Conservation","United States","- Data covers over 4,200 recreation areas across the United States.
- Includes information on more than 113,000 individual facilities, such as campsites and picnic areas.
- Features hundreds of different recreational activities, from hiking and fishing to rock climbing and boating.","Explore America's Great Outdoors: The Definitive Guide to US Federal Recreation"
"common-ground-trail-trends","Common-Ground Trail Trends","CRITICAL: Use this graph for insights into the evolving culture of trail running, focusing on consumer motivations, community-building, and the influence of Gen Z. It's ideal for developing brand strategies, marketing campaigns, and product innovations in the outdoor recreation and wellness sectors.","This graph provides intelligence on the cultural shifts within trail running. It explores how the sport is moving beyond intense competition to become a more inclusive, experience-driven lifestyle that encompasses fashion, wellness, and community, largely influenced by a new generation of participants.","- Tracks the cultural shift from competition to community and experience.
- Analyzes the growing influence of Gen Z on trail running trends.
- Identifies the merging of urban environments with traditional trail running.
- Highlights the importance of mental well-being and nature connection as key motivators.","- Brand Strategy
- Marketing and Advertising
- Product Innovation
- Market Research
- Outdoor Apparel and Gear","- How is Gen Z changing the culture of trail running?
- What are the new motivations for people to start trail running?
- How can we make our outdoor brand more inclusive?
- What are some examples of trail running culture extending into urban areas?
- Find trends related to the connection between mental health and trail running.","","- Trail Running
- Outdoor Recreation
- Gen Z
- Wellness
- Community
- Urban Adaptation
- Sports Culture","Global","- Trail running is increasingly being adopted by Gen Z, who are driving significant growth in the sport.
- The culture is shifting from a focus on competition to one that prioritizes accessibility and enjoyment, described as 'Soft Adventure'.
- A key trend is the 'Urban Hybrid,' where runners adapt trail activities to city parks, footpaths, and industrial areas.
- The sport is expanding to encompass a wider culture including fashion, music, and festivals under the 'Wild Spirit' trend.","Explore the Evolving Culture of Trail Running, Driven by Community, Wellness, and Gen Z"
"world-happiness-social-media","World Happiness Social Graph","CRITICAL: Use this graph for analyzing the complex relationship between social media usage, mental well-being, and happiness across different global regions and demographics.","This knowledge graph explores the intricate connection between social media engagement and personal happiness on a global scale. It identifies key trends, demographic variations, and platform-specific impacts, revealing that heavy usage, particularly among adolescents and in Western countries, is often linked to lower well-being, while platforms focused on genuine social connection can have a positive effect.","- Analyzes the correlation between heavy social media use and decreased well-being.
- Highlights geographical differences in the impact of social media on mental health.
- Differentiates between platform types, contrasting algorithm-driven content with those fostering social connection.","- Public Health & Policy Makers
- Social Media Platforms & Tech Companies
- Mental Health Professionals & Researchers","- How does heavy social media use impact adolescent mental health?
- Are there regional differences in how social media affects happiness?
- Which types of social media platforms are better for well-being?","","- Social Media
- Mental Health
- Well-being","Global","- Heavy social media use (more than five hours per day) is associated with lower wellbeing in the Middle East and North Africa (MENA).
- In English-speaking countries and Western Europe, individuals who heavily use social media are at a higher risk of mental health issues.
- In Latin America, platforms that facilitate social connections show a positive association with happiness, unlike algorithmically curated platforms.","Mapping the Global Impact of Social Media on Happiness and Well-being"
"mintel-2026_global_beauty_and_personal_care_predictions_acig-1","Mintel Global Beauty Predictions","CRITICAL: Use this graph for understanding the next wave of consumer expectations in the beauty and personal care industry, focusing on the convergence of wellness, technology, and authentic experiences.","This graph outlines the future of the beauty and personal care industry, predicting a shift towards three core pillars: 'Metabolic Beauty' (health-integrated, measurable wellbeing), 'Sensorial Synergy' (mood-enhancing, multi-sensory experiences), and 'The Human Touch Revolution' (a move away from algorithmic perfection towards authenticity and raw creativity).","- Metabolic Beauty: The convergence of wellness and beauty, where products act as diagnostic tools for inner health.
- Sensorial Synergy: The rise of experience-first products that use scent, touch, and sound for emotional regulation.
- The Human Touch Revolution: A consumer backlash against digital perfection, valuing imperfection and human artistry.","- Beauty & Personal Care
- Product Innovation
- Marketing & Brand Strategy","- How is the concept of 'beauty from within' evolving?
- What are some examples of multi-sensory beauty products?
- How can brands incorporate 'human touch' and authenticity in an AI-driven world?","","- Beauty & Personal Care
- Consumer Trends
- Wellness
- Innovation
- Technology","Global","- By 2030, skin and hair will be recognized as the body's most accessible biomarker.
- Predicts a shift away from data-driven conformity towards raw authenticity and human creativity.
- Identifies the rise of 'experience-first' beauty, where sensory stimulation is the primary driver of purchase.","The Future of Beauty is Holistic, Sensory, and Human"
"morgan-stanley-2025-tax","Morgan Stanley 2025 Tax","CRITICAL: Use this graph for in-depth analysis of 2025 tax statements, focusing on identifying patterns, understanding regulatory implications, and extracting key financial data points for high-net-worth clients and corporate accounts. Prioritize queries that explore consolidated statements.","This knowledge graph provides a comprehensive analysis of consolidated tax statement patterns and their financial implications for the 2025 tax year. Curated by Morgan Stanley, it is designed to help financial advisors and tax professionals identify trends, anticipate changes, and advise clients with data-driven insights derived from a large-scale analysis of tax documents.","- Consolidated View: Aggregates data from various tax documents into a single, unified view for holistic analysis.
- Pattern Recognition: Identifies recurring patterns and anomalies in tax statements across different client segments.
- Implication Analysis: Connects tax patterns to their potential financial and regulatory implications, offering predictive insights.","- Tax Advisory & Compliance
- Wealth Management
- Financial Planning & Analysis
- Corporate Finance","- What are the most common patterns observed in consolidated tax statements for clients with over $10M in assets?
- Identify key tax implications for the technology sector in 2025.
- Show me the trend of capital gains declarations over the last three tax years.","https://www.morganstanley.com","- Taxation
- Financial Regulation
- Wealth Management
- Investment Analysis","United States","- Analyzes over 50 distinct types of tax statements.
- Identifies 12 major tax pattern categories for 2025.
- Tracks tax code implications across all 50 states.","Morgan Stanley's 2025 Tax Graph: Uncovering Patterns and Implications in Consolidated Tax Statements"
"paralogy","Paralogy","CRITICAL: Use this graph to introduce structured, creative friction into strategic thinking. Query it for frameworks, provocations, and mental models that challenge assumptions and break conventional patterns. It is designed to help teams avoid generic answers and unlock novel solutions.","Paralogy provides a strategic edge for teams by adding 'structured creative friction' to their thinking processes. It's designed to systematically break conventional thought patterns, helping users move beyond generic answers and uncover innovative solutions.","- Introduces 'Structured Creative Friction' to challenge teams
- Designed to break conventional thinking patterns
- Helps teams avoid generic answers and outputs
- Provides frameworks for strategic and creative problem-solving","- Strategy & Innovation Units
- Product Development & R&D Teams
- Marketing & Creative Agencies
- Leadership teams seeking to foster a culture of innovation","- What is a 'first principles' approach to our customer onboarding process?
- Generate three 'provocations' to challenge our assumptions about the sales cycle.
- How can we apply the concept of 'inversion' to our product marketing strategy?
- What mental models can help us re-evaluate our competitive landscape?","","- Creative Thinking
- Strategic Planning
- Innovation
- Problem Solving
- Mental Models","Global","- Features 1 core methodology: Structured Creative Friction
- Applicable to teams of 2 or more
- Designed for 0 geographical constraints","The Strategic Edge for Non-Linear Thinking"
